point_id,u,v,Xcm,Ycm,split
R1C1,30.000,69.500,-50,65,fit
R1C2,123.000,68.500,-18,65,fit
R1C3,213.500,69.500,18,65,fit
R1C4,296.000,71.500,50,65,fit
R2C1,70.000,50.500,-50,98,fit
R2C2,134.000,51.500,-18,98,fit
R2C3,201.500,52.500,18,98,fit
R2C4,262.500,53.500,50,98,fit
R3C1,95.000,39.500,-50,131,fit
R3C2,142.000,40.500,-18,131,fit
R3C3,193.000,41.500,18,131,fit
R3C4,242.500,41.500,50,131,fit
R4C1,107.000,33.500,-50,164,fit
R4C2,148.500,34.500,-18,164,fit
R4C3,188.000,34.500,18,164,fit
R4C4,230.000,35.500,50,164,fit
R5C1,44.500,119.500,-26,30,fit
R5C2,117.000,121.500,-10,30,fit
R5C3,176.000,124.500,2,30,fit
R5C4,279.500,126.500,25,30,fit
R6C1,49.500,219.500,-16,9,fit
R6C2,124.000,220.500,-6,9,fit
R6C3,235.000,220.500,6,9,fit
R6C4,279.500,219.500,12,9,fit
